system:index,area_km2,band,class,class_name,.geo
11_0_5,10708.110627269434,classification_1996,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_6,24.15778293249505,classification_1996,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_7,28.73169083831787,classification_1996,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_8,440.56744969250667,classification_1996,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_9,0.13316355407714847,classification_1996,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_10,113.17059337566184,classification_1996,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_11,9.067848983947735,classification_1996,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_12,103.6379185457271,classification_1996,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_13,23.800794037540804,classification_1996,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_14,34.30073309997524,classification_1996,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,7171.037469123837,classification_1997,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_1,66.35827642041033,classification_1997,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_2,20.618560131958002,classification_1997,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_3,8.874710083007812E-4,classification_1997,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_4,4325.451721234821,classification_1997,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_5,10727.952931602129,classification_1997,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_6,21.52049555395505,classification_1997,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_7,31.175497374023486,classification_1997,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
